method,topology,seed,distance,emit_count,emit_share,cdf_emit_share
snn_baseline,ba,91,0,5,0.07575757575757576,0.07575757575757576
snn_baseline,ba,91,1,61,0.9242424242424242,1.0
snn_baseline,ba,91,2,0,0.0,1.0
snn_baseline,ba,91,3,0,0.0,1.0
snn_baseline,ba,91,4,0,0.0,1.0
snn_full,ba,91,0,3,0.05,0.05
snn_full,ba,91,1,57,0.95,1.0
snn_full,ba,91,2,0,0.0,1.0
snn_full,ba,91,3,0,0.0,1.0
snn_full,ba,91,4,0,0.0,1.0
ospf_te_t5,ba,91,0,5,0.01,0.01
ospf_te_t5,ba,91,1,95,0.19,0.2
ospf_te_t5,ba,91,2,245,0.49,0.69
ospf_te_t5,ba,91,3,150,0.3,0.99
ospf_te_t5,ba,91,4,5,0.01,1.0
ospf_te_t1,ba,91,0,21,0.01,0.01
ospf_te_t1,ba,91,1,399,0.19,0.2
ospf_te_t1,ba,91,2,1029,0.49,0.69
ospf_te_t1,ba,91,3,630,0.3,0.99
ospf_te_t1,ba,91,4,21,0.01,1.0
snn_baseline,ba,92,0,5,0.036231884057971016,0.036231884057971016
snn_baseline,ba,92,1,133,0.9637681159420289,1.0
snn_baseline,ba,92,2,0,0.0,1.0
snn_baseline,ba,92,3,0,0.0,1.0
snn_full,ba,92,0,3,0.027777777777777776,0.027777777777777776
snn_full,ba,92,1,105,0.9722222222222222,1.0
snn_full,ba,92,2,0,0.0,1.0
snn_full,ba,92,3,0,0.0,1.0
ospf_te_t5,ba,92,0,5,0.01,0.01
ospf_te_t5,ba,92,1,175,0.35,0.36
ospf_te_t5,ba,92,2,275,0.55,0.91
ospf_te_t5,ba,92,3,45,0.09,1.0
ospf_te_t1,ba,92,0,21,0.01,0.01
ospf_te_t1,ba,92,1,735,0.35,0.36
ospf_te_t1,ba,92,2,1155,0.55,0.91
ospf_te_t1,ba,92,3,189,0.09,1.0
snn_baseline,ba,93,0,5,0.05434782608695652,0.05434782608695652
snn_baseline,ba,93,1,87,0.9456521739130435,1.0
snn_baseline,ba,93,2,0,0.0,1.0
snn_baseline,ba,93,3,0,0.0,1.0
snn_full,ba,93,0,3,0.037037037037037035,0.037037037037037035
snn_full,ba,93,1,78,0.9629629629629629,1.0
snn_full,ba,93,2,0,0.0,1.0
snn_full,ba,93,3,0,0.0,1.0
ospf_te_t5,ba,93,0,5,0.01,0.01
ospf_te_t5,ba,93,1,130,0.26,0.27
ospf_te_t5,ba,93,2,320,0.64,0.91
ospf_te_t5,ba,93,3,45,0.09,1.0
ospf_te_t1,ba,93,0,21,0.01,0.01
ospf_te_t1,ba,93,1,546,0.26,0.27
ospf_te_t1,ba,93,2,1344,0.64,0.91
ospf_te_t1,ba,93,3,189,0.09,1.0
snn_baseline,ba,94,0,5,0.044642857142857144,0.044642857142857144
snn_baseline,ba,94,1,107,0.9553571428571429,1.0
snn_baseline,ba,94,2,0,0.0,1.0
snn_baseline,ba,94,3,0,0.0,1.0
snn_full,ba,94,0,3,0.03571428571428571,0.03571428571428571
snn_full,ba,94,1,81,0.9642857142857143,1.0
snn_full,ba,94,2,0,0.0,1.0
snn_full,ba,94,3,0,0.0,1.0
ospf_te_t5,ba,94,0,5,0.01,0.01
ospf_te_t5,ba,94,1,135,0.27,0.28
ospf_te_t5,ba,94,2,285,0.57,0.85
ospf_te_t5,ba,94,3,75,0.15,1.0
ospf_te_t1,ba,94,0,21,0.01,0.01
ospf_te_t1,ba,94,1,567,0.27,0.28
ospf_te_t1,ba,94,2,1197,0.57,0.85
ospf_te_t1,ba,94,3,315,0.15,1.0
snn_baseline,ba,95,0,5,0.044642857142857144,0.044642857142857144
snn_baseline,ba,95,1,107,0.9553571428571429,1.0
snn_baseline,ba,95,2,0,0.0,1.0
snn_baseline,ba,95,3,0,0.0,1.0
snn_full,ba,95,0,3,0.03571428571428571,0.03571428571428571
snn_full,ba,95,1,81,0.9642857142857143,1.0
snn_full,ba,95,2,0,0.0,1.0
snn_full,ba,95,3,0,0.0,1.0
ospf_te_t5,ba,95,0,5,0.01,0.01
ospf_te_t5,ba,95,1,135,0.27,0.28
ospf_te_t5,ba,95,2,265,0.53,0.81
ospf_te_t5,ba,95,3,95,0.19,1.0
ospf_te_t1,ba,95,0,21,0.01,0.01
ospf_te_t1,ba,95,1,567,0.27,0.28
ospf_te_t1,ba,95,2,1113,0.53,0.81
ospf_te_t1,ba,95,3,399,0.19,1.0
