method,topology,seed,hotspot_node,peak_event_rate,initial_convergence_tick,active_node_ratio,total_emit_events_under_hotspot,weighted_mean_emit_distance,max_active_distance,p90_emit_radius,near_emit_share_h2,far_emit_share_h5,hotspot_emit_share,far_quiet_ratio_h5,outer_quiet_ratio_h3,distance_emit_correlation
snn_baseline,er,121,69,44574,4,0.1,38,0.868421052631579,1,1.0,1.0,0.0,0.13157894736842105,0.0,1.0,-0.6471424841102549
snn_full,er,121,69,31265,4,0.13,39,0.9230769230769231,1,1.0,1.0,0.0,0.07692307692307693,0.0,1.0,-0.7300277511232808
triggered_te,er,121,69,41121,4,1.0,374,2.1363636363636362,3,3.0,0.679144385026738,0.0,0.013368983957219251,0.0,0.0,-0.6020464967669195
ospf_te_t5,er,121,69,14058,8,1.0,420,2.2214285714285715,3,3.0,0.6357142857142857,0.0,0.009523809523809525,0.0,0.0,0.021842601416525827
ospf_te_t1,er,121,69,61182,4,1.0,2100,2.22,3,3.0,0.64,0.0,0.01,0.0,0.0,
snn_baseline,er,122,78,36623,4,0.09,35,0.8571428571428571,1,1.0,1.0,0.0,0.14285714285714285,0.0,1.0,-0.5727502523638524
snn_full,er,122,78,27276,4,0.12,36,0.9166666666666666,1,1.0,1.0,0.0,0.08333333333333333,0.0,1.0,-0.6549079545282903
triggered_te,er,122,78,35508,4,1.0,450,2.2977777777777777,4,3.0,0.6133333333333333,0.0,0.013333333333333334,0.0,0.0,-0.6167980625821284
ospf_te_t5,er,122,78,12177,11,1.0,420,2.442857142857143,4,4.0,0.530952380952381,0.0,0.009523809523809525,0.0,0.0,-0.08674723979493591
ospf_te_t1,er,122,78,55638,4,1.0,2100,2.45,4,4.0,0.53,0.0,0.01,0.0,0.0,
snn_baseline,er,123,50,45531,4,0.12,43,0.8837209302325582,1,1.0,1.0,0.0,0.11627906976744186,0.0,1.0,-0.672942076165162
snn_full,er,123,50,31161,4,0.13,39,0.9230769230769231,1,1.0,1.0,0.0,0.07692307692307693,0.0,1.0,-0.7009079725236715
triggered_te,er,123,50,41495,4,1.0,372,2.153225806451613,4,3.0,0.6854838709677419,0.0,0.016129032258064516,0.0,0.0,-0.4808587600725733
ospf_te_t5,er,123,50,12870,8,1.0,420,2.2142857142857144,4,3.0,0.6571428571428571,0.0,0.011904761904761904,0.0,0.0,-0.08388532326308493
ospf_te_t1,er,123,50,61578,4,1.0,2100,2.22,4,3.0,0.66,0.0,0.01,0.0,0.0,
snn_baseline,er,124,5,41001,4,0.17,65,0.9230769230769231,1,1.0,1.0,0.0,0.07692307692307693,0.0,1.0,-0.7544112375687707
snn_full,er,124,5,29111,4,0.17,51,0.9411764705882353,1,1.0,1.0,0.0,0.058823529411764705,0.0,1.0,-0.7511069824806845
triggered_te,er,124,5,38538,4,1.0,390,2.056410256410256,4,3.0,0.7333333333333333,0.0,0.015384615384615385,0.0,0.0,-0.5129983543054891
ospf_te_t5,er,124,5,13959,8,1.0,420,2.126190476190476,4,3.0,0.6976190476190476,0.0,0.011904761904761904,0.0,0.0,-0.055841745372196334
ospf_te_t1,er,124,5,58608,4,1.0,2100,2.13,4,3.0,0.7,0.0,0.01,0.0,0.0,
snn_baseline,er,125,35,40323,4,0.11,42,0.8809523809523809,1,1.0,1.0,0.0,0.11904761904761904,0.0,1.0,-0.650458309926464
snn_full,er,125,35,29596,4,0.13,39,0.9230769230769231,1,1.0,1.0,0.0,0.07692307692307693,0.0,1.0,-0.7076953008815676
triggered_te,er,125,35,40833,4,1.0,374,2.229946524064171,4,3.0,0.6149732620320856,0.0,0.016042780748663103,0.0,0.0,-0.5223767885112545
ospf_te_t5,er,125,35,13167,9,1.0,420,2.3142857142857145,4,3.0,0.5761904761904761,0.0,0.011904761904761904,0.0,0.0,0.05940108823790479
ospf_te_t1,er,125,35,58212,4,1.0,2100,2.31,4,3.0,0.58,0.0,0.01,0.0,0.0,
