mode,topology,seed,stage1_node,stage2_node,initial_convergence_tick,peak_event_rate,stage1_escape_ratio,rebound_ratio_after_release,post_stage2_route_changes,return_to_stage1_ratio,after_stage2_fire_ratio,emitted_updates,route_changes,post_event_route_changes
baseline,er,101,2,91,4,41772,0.03434343434343434,0.024747474747474747,0,0.024747474747474747,0.0,212129,12667,12667
memory_only,er,101,2,91,4,41772,0.03434343434343434,0.022929292929292928,0,0.022929292929292928,0.0,183856,12649,12649
full,er,101,2,91,4,29986,0.01787878787878788,0.00202020202020202,0,0.00202020202020202,0.0,166268,9499,9499
baseline,er,102,23,59,4,37131,0.020505050505050505,0.018585858585858588,32,0.015353535353535354,0.0,195410,12303,12303
memory_only,er,102,23,59,4,37131,0.020505050505050505,0.01696969696969697,0,0.01696969696969697,0.0,169041,12255,12255
full,er,102,23,59,4,27857,0.013535353535353536,0.0048484848484848485,0,0.0048484848484848485,0.0,154618,9524,9524
baseline,er,103,87,80,4,38370,0.0022222222222222222,0.0024242424242424242,3,0.0021212121212121214,0.0,199590,12053,12053
memory_only,er,103,87,80,4,38370,0.0022222222222222222,0.00202020202020202,0,0.00202020202020202,0.0,172568,12046,12046
full,er,103,87,80,4,28869,0.010303030303030303,0.0019191919191919192,0,0.0019191919191919192,0.0,159485,9441,9441
baseline,er,104,86,5,4,43294,0.005353535353535353,0.01202020202020202,70,0.004949494949494949,0.0,215565,12303,12303
memory_only,er,104,86,5,4,43294,0.005353535353535353,0.010404040404040403,0,0.010404040404040403,0.0,187147,12217,12217
full,er,104,86,5,4,30867,0.01797979797979798,0.005050505050505051,0,0.005050505050505051,0.0,172925,9516,9516
baseline,er,105,32,98,4,44169,0.02303030303030303,0.02070707070707071,0,0.02070707070707071,0.0,219415,12444,12444
memory_only,er,105,32,98,4,44169,0.02303030303030303,0.017474747474747476,0,0.017474747474747476,0.0,191188,12412,12412
full,er,105,32,98,4,31191,0.019393939393939394,0.00030303030303030303,0,0.00030303030303030303,0.0,174405,9473,9473
