nodes,seed,method,initial_convergence_tick,first_emit_latency_from_burst,steady_pre_burst_emit_rate,steady_pre_burst_mean_interval,under_burst_emit_rate,under_burst_mean_interval,peak_event_rate,emitted_updates,received_updates,fire_count,pair_reachability_ratio,loop_ratio,blackhole_ratio
100,31,snn_sra,4,6,0.0,,0.19230769230769232,4,28507,156770,159735,27642,1.0,0.0,0.0
100,31,ospf_te_t10,31,7,0.1,,0.07692307692307693,10,56034,406989,401895,0,1.0,0.0,0.0
100,31,ospf_te_t5,16,2,0.2,5,0.19230769230769232,5,56034,911295,901107,0,1.0,0.0,0.0
100,31,ospf_te_t2,7,1,0.5,2,0.5,2,56034,2424213,2398743,0,1.0,0.0,0.0
100,31,ospf_te_t1,4,0,1.0,1,1.0,1,56034,4945743,4839335,0,1.0,0.0,0.0
100,32,snn_sra,4,6,0.0,,0.19230769230769232,4,30726,173320,176586,28318,1.0,0.0,0.0
100,32,ospf_te_t10,31,7,0.1,,0.07692307692307693,10,58806,431260,425914,0,1.0,0.0,0.0
100,32,ospf_te_t5,16,2,0.2,5,0.19230769230769232,5,58806,960514,949822,0,1.0,0.0,0.0
100,32,ospf_te_t2,7,1,0.5,2,0.5,2,58806,2548276,2521546,0,1.0,0.0,0.0
100,32,ospf_te_t1,4,0,1.0,1,1.0,1,58806,5194546,5082874,0,1.0,0.0,0.0
100,33,snn_sra,4,6,0.0,,0.19230769230769232,4,29025,169185,172629,27811,1.0,0.0,0.0
100,33,ospf_te_t10,31,7,0.1,,0.07692307692307693,10,59004,432556,427192,0,1.0,0.0,0.0
100,33,ospf_te_t5,16,2,0.2,5,0.19230769230769232,5,59004,963592,952864,0,1.0,0.0,0.0
100,33,ospf_te_t2,7,1,0.5,2,0.5,2,59004,2556700,2529880,0,1.0,0.0,0.0
100,33,ospf_te_t1,4,0,1.0,1,1.0,1,59004,5211880,5099832,0,1.0,0.0,0.0
100,34,snn_sra,4,6,0.0,,0.19230769230769232,4,29220,159942,163543,27689,1.0,0.0,0.0
100,34,ospf_te_t10,31,7,0.1,,0.07692307692307693,10,59202,435771,430389,0,1.0,0.0,0.0
100,34,ospf_te_t5,16,2,0.2,5,0.19230769230769232,5,59202,968589,957825,0,1.0,0.0,0.0
100,34,ospf_te_t2,7,1,0.5,2,0.5,2,59202,2567043,2540133,0,1.0,0.0,0.0
100,34,ospf_te_t1,4,0,1.0,1,1.0,1,59202,5231133,5118709,0,1.0,0.0,0.0
100,35,snn_sra,4,6,0.0,,0.19230769230769232,4,31361,170556,174474,28049,1.0,0.0,0.0
100,35,ospf_te_t10,31,7,0.1,,0.07692307692307693,10,62172,460897,455245,0,1.0,0.0,0.0
100,35,ospf_te_t5,16,2,0.2,5,0.19230769230769232,5,62172,1020445,1009141,0,1.0,0.0,0.0
100,35,ospf_te_t2,7,1,0.5,2,0.5,2,62172,2699089,2670829,0,1.0,0.0,0.0
100,35,ospf_te_t1,4,0,1.0,1,1.0,1,62172,5496829,5378765,0,1.0,0.0,0.0
