scenario,topology,seed,method,startup_full_reachability_tick,post_startup_min_reachability_ratio,post_startup_max_loop_ratio,post_startup_max_blackhole_ratio,final_pair_reachability_ratio,final_node_complete_route_ratio
continuous_chaos,er,121,bandit,6,1.0,0.0,0.0,1.0,1.0
continuous_chaos,er,122,bandit,7,0.9995959595959596,0.0,0.00040404040404040404,1.0,1.0
continuous_chaos,er,123,bandit,6,1.0,0.0,0.0,1.0,1.0
continuous_chaos,er,124,bandit,6,1.0,0.0,0.0,1.0,1.0
continuous_chaos,er,125,bandit,6,1.0,0.0,0.0,1.0,1.0
continuous_chaos,er,121,ospf_te,8,0.9997979797979798,0.0,0.00020202020202020202,1.0,1.0
continuous_chaos,er,122,ospf_te,11,0.9992929292929293,0.0,0.0007070707070707071,1.0,1.0
continuous_chaos,er,123,ospf_te,8,0.9987878787878788,0.0012121212121212121,0.00040404040404040404,1.0,1.0
continuous_chaos,er,124,ospf_te,8,0.9991919191919192,0.0,0.0008080808080808081,1.0,1.0
continuous_chaos,er,125,ospf_te,9,1.0,0.0,0.0,1.0,1.0
continuous_chaos,er,121,snn_sra,4,0.9993939393939394,0.0006060606060606061,0.0,1.0,1.0
continuous_chaos,er,122,snn_sra,4,1.0,0.0,0.0,1.0,1.0
continuous_chaos,er,123,snn_sra,4,0.9986868686868687,0.0013131313131313131,0.0,1.0,1.0
continuous_chaos,er,124,snn_sra,4,0.9995959595959596,0.00040404040404040404,0.0,1.0,1.0
continuous_chaos,er,125,snn_sra,4,0.9993939393939394,0.0006060606060606061,0.0,1.0,1.0
continuous_chaos,er,121,te_ecmp,8,0.9997979797979798,0.0,0.00020202020202020202,1.0,1.0
continuous_chaos,er,122,te_ecmp,11,0.9992929292929293,0.0,0.0007070707070707071,1.0,1.0
continuous_chaos,er,123,te_ecmp,8,0.9995959595959596,0.0,0.00040404040404040404,1.0,1.0
continuous_chaos,er,124,te_ecmp,8,0.9991919191919192,0.0,0.0008080808080808081,1.0,1.0
continuous_chaos,er,125,te_ecmp,9,1.0,0.0,0.0,1.0,1.0
continuous_chaos,er,121,triggered_te,4,0.9996969696969698,0.00030303030303030303,0.0,1.0,1.0
continuous_chaos,er,122,triggered_te,4,1.0,0.0,0.0,1.0,1.0
continuous_chaos,er,123,triggered_te,4,0.998989898989899,0.00101010101010101,0.0,0.9996969696969698,0.97
continuous_chaos,er,124,triggered_te,4,1.0,0.0,0.0,1.0,1.0
continuous_chaos,er,125,triggered_te,4,0.9763636363636363,0.023636363636363636,0.0,0.9902020202020202,0.03
gray_failure,er,121,bandit,6,1.0,0.0,0.0,1.0,1.0
gray_failure,er,122,bandit,7,0.9995959595959596,0.0,0.00040404040404040404,1.0,1.0
gray_failure,er,123,bandit,6,1.0,0.0,0.0,1.0,1.0
gray_failure,er,124,bandit,6,1.0,0.0,0.0,1.0,1.0
gray_failure,er,125,bandit,6,1.0,0.0,0.0,1.0,1.0
gray_failure,er,121,ospf_te,8,0.9997979797979798,0.0,0.00020202020202020202,1.0,1.0
gray_failure,er,122,ospf_te,11,0.9992929292929293,0.0,0.0007070707070707071,1.0,1.0
gray_failure,er,123,ospf_te,8,0.9995959595959596,0.0,0.00040404040404040404,1.0,1.0
gray_failure,er,124,ospf_te,8,0.9991919191919192,0.0,0.0008080808080808081,1.0,1.0
gray_failure,er,125,ospf_te,9,1.0,0.0,0.0,1.0,1.0
gray_failure,er,121,snn_sra,4,0.9993939393939394,0.0006060606060606061,0.0,1.0,1.0
gray_failure,er,122,snn_sra,4,0.9997979797979798,0.00020202020202020202,0.0,1.0,1.0
gray_failure,er,123,snn_sra,4,1.0,0.0,0.0,1.0,1.0
gray_failure,er,124,snn_sra,4,0.9997979797979798,0.00020202020202020202,0.0,1.0,1.0
gray_failure,er,125,snn_sra,4,1.0,0.0,0.0,1.0,1.0
gray_failure,er,121,te_ecmp,8,0.9997979797979798,0.0,0.00020202020202020202,1.0,1.0
gray_failure,er,122,te_ecmp,11,0.9992929292929293,0.0,0.0007070707070707071,1.0,1.0
gray_failure,er,123,te_ecmp,8,0.9995959595959596,0.0,0.00040404040404040404,1.0,1.0
gray_failure,er,124,te_ecmp,8,0.9991919191919192,0.0,0.0008080808080808081,1.0,1.0
gray_failure,er,125,te_ecmp,9,1.0,0.0,0.0,1.0,1.0
gray_failure,er,121,triggered_te,4,1.0,0.0,0.0,1.0,1.0
gray_failure,er,122,triggered_te,4,1.0,0.0,0.0,1.0,1.0
gray_failure,er,123,triggered_te,4,0.9996969696969698,0.00030303030303030303,0.0,1.0,1.0
gray_failure,er,124,triggered_te,4,1.0,0.0,0.0,1.0,1.0
gray_failure,er,125,triggered_te,4,0.9911111111111112,0.008888888888888889,0.0,0.9912121212121212,0.13
hotspot_3x,er,121,bandit,6,1.0,0.0,0.0,1.0,1.0
hotspot_3x,er,122,bandit,7,0.9995959595959596,0.0,0.00040404040404040404,1.0,1.0
hotspot_3x,er,123,bandit,6,1.0,0.0,0.0,1.0,1.0
hotspot_3x,er,124,bandit,6,1.0,0.0,0.0,1.0,1.0
hotspot_3x,er,125,bandit,6,1.0,0.0,0.0,1.0,1.0
hotspot_3x,er,121,ospf_te,8,0.9997979797979798,0.0,0.00020202020202020202,1.0,1.0
hotspot_3x,er,122,ospf_te,11,0.9992929292929293,0.0,0.0007070707070707071,1.0,1.0
hotspot_3x,er,123,ospf_te,8,0.9987878787878788,0.0012121212121212121,0.00040404040404040404,1.0,1.0
hotspot_3x,er,124,ospf_te,8,0.9991919191919192,0.0,0.0008080808080808081,1.0,1.0
hotspot_3x,er,125,ospf_te,9,1.0,0.0,0.0,1.0,1.0
hotspot_3x,er,121,snn_sra,4,0.9993939393939394,0.0006060606060606061,0.0,1.0,1.0
hotspot_3x,er,122,snn_sra,4,1.0,0.0,0.0,1.0,1.0
hotspot_3x,er,123,snn_sra,4,0.9986868686868687,0.0013131313131313131,0.0,1.0,1.0
hotspot_3x,er,124,snn_sra,4,0.9995959595959596,0.00040404040404040404,0.0,1.0,1.0
hotspot_3x,er,125,snn_sra,4,0.998989898989899,0.00101010101010101,0.0,1.0,1.0
hotspot_3x,er,121,te_ecmp,8,0.9997979797979798,0.0,0.00020202020202020202,1.0,1.0
hotspot_3x,er,122,te_ecmp,11,0.9992929292929293,0.0,0.0007070707070707071,1.0,1.0
hotspot_3x,er,123,te_ecmp,8,0.9995959595959596,0.0,0.00040404040404040404,1.0,1.0
hotspot_3x,er,124,te_ecmp,8,0.9991919191919192,0.0,0.0008080808080808081,1.0,1.0
hotspot_3x,er,125,te_ecmp,9,1.0,0.0,0.0,1.0,1.0
hotspot_3x,er,121,triggered_te,4,0.9981818181818182,0.0018181818181818182,0.0,1.0,1.0
hotspot_3x,er,122,triggered_te,4,1.0,0.0,0.0,1.0,1.0
hotspot_3x,er,123,triggered_te,4,1.0,0.0,0.0,1.0,1.0
hotspot_3x,er,124,triggered_te,4,1.0,0.0,0.0,1.0,1.0
hotspot_3x,er,125,triggered_te,4,0.9896969696969697,0.010303030303030303,0.0,0.9905050505050506,0.06
