topology,seed,method,first_active_tick_after_shock,hotspot_relief_tick_after_shock,quieting_tick_after_shock,burst_mean_delivery_ratio,burst_mean_control_messages,burst_mean_control_bytes,burst_mean_route_changes,total_emitted_updates,total_route_changes,peak_event_rate,peak_route_changes_per_tick,startup_full_reachability_tick,startup_control_bytes_before_first_burst,startup_control_bytes_before_full_reachability
er,122,snn_sra,4,5,,0.957579234725401,697.9354838709677,22333.935483870966,10.419354838709678,214200,9661,27276,4784.0,4,4707456.0,1663744.0
er,121,snn_sra,3,5,,0.9476374717373911,1367.5483870967741,43761.54838709677,25.129032258064516,288480,10071,31265,5160.0,4,5287648.0,1818240.0
er,122,ospf_te,0,0,1,0.9814494248141896,11161.451612903225,357166.4516129032,104.64516129032258,1529536,17081,12177,2512.0,11,13220160.0,3256800.0
er,121,ospf_te,0,0,4,0.980075221485422,12192.967741935483,390174.96774193546,118.74193548387096,1689706,17599,14058,2966.0,8,14774528.0,2606240.0
er,122,triggered_te,0,0,1,0.9897760897238188,9602.645161290322,307284.6451612903,2.3225806451612905,1409572,11409,35508,4832.0,4,14763296.0,3084416.0
er,123,snn_sra,3,4,,0.916765924798022,1581.5806451612902,50610.58064516129,30.032258064516128,294691,10209,31161,5118.0,4,5319840.0,1829248.0
er,121,triggered_te,0,0,3,0.9838129452012383,10736.645161290322,343572.6451612903,12.870967741935484,1552957,11785,40179,5214.0,4,16191680.0,3507936.0
er,121,te_ecmp,0,0,4,0.9885234751924867,23933.774193548386,765880.7741935484,57.67741935483871,3323476,22585,28419,3812.0,8,28501120.0,4220416.0
er,123,ospf_te,0,2,1,0.9585502814914604,12311.129032258064,393956.12903225806,139.4516129032258,1701146,18277,12870,3012.0,8,14885504.0,2657024.0
er,122,te_ecmp,0,0,1,1.0000000000000098,21143.225806451614,676583.2258064516,0.0,2868157,19587,22668,3582.0,11,24168672.0,5265120.0
er,121,bandit,0,0,1,0.9994503891725175,20435.516129032258,653936.5161290322,3839.0967741935483,2820178,575908,21681,8167.0,6,24804128.0,3268064.0
er,124,snn_sra,3,4,,0.9292062461741295,1772.0645161290322,56706.06451612903,26.29032258064516,325104,10123,29111,5062.0,4,5036608.0,1741888.0
er,122,bandit,0,0,1,0.9955676300067927,18580.064516129034,594562.0645161291,3561.2580645161293,2558815,529255,19602,6877.0,7,22384416.0,3427104.0
er,124,ospf_te,0,0,1,0.978493192783126,11793.774193548386,377400.77419354836,85.64516129032258,1613639,16253,13959,2874.0,8,13993760.0,2345024.0
er,123,triggered_te,0,2,1,0.9880226146625682,10777.677419354839,344885.67741935485,14.612903225806452,1561273,11973,40827,5172.0,4,16373024.0,3590848.0
er,125,snn_sra,0,5,,0.9293558982875316,1107.1612903225807,35429.16129032258,18.258064516129032,254131,9889,29596,5034.0,4,5037568.0,1737152.0
er,123,te_ecmp,0,2,1,0.978517032355522,24074.41935483871,770381.4193548387,153.67741935483872,3362142,27021,25867,3616.0,8,28945088.0,4298176.0
er,123,bandit,0,0,1,0.9779510677574229,20556.870967741936,657819.8709677419,4171.677419354839,2838112,619299,21483,8041.0,6,24964512.0,3289056.0
er,124,triggered_te,0,4,1,0.9799383907327371,10551.354838709678,337643.3548387097,15.483870967741936,1498004,11889,38538,5126.0,4,15575040.0,3385536.0
er,125,ospf_te,0,2,2,0.9664538372616271,11643.677419354839,372597.67741935485,90.41935483870968,1604550,16996,13167,2716.0,9,13964288.0,2787584.0
er,124,te_ecmp,0,0,1,0.9840258383547529,22369.548387096773,715825.5483870967,152.29032258064515,3102292,25691,27934,3949.0,8,26475552.0,3664160.0
er,125,triggered_te,0,7,2,0.9271999312617546,10064.870967741936,322075.87096774194,13.838709677419354,1473229,11789,38430,5070.0,4,15424864.0,3231552.0
er,124,bandit,0,0,1,0.9802114810950499,19579.645161290322,626548.6451612903,3680.6451612903224,2700658,557319,20889,7157.0,6,23728992.0,3098976.0
er,125,te_ecmp,0,2,2,0.959679684443423,21439.612903225807,686067.6129032258,158.0,3021954,26277,26477,3310.0,9,25972000.0,4445760.0
er,125,bandit,0,0,2,0.940566511501633,19391.225806451614,620519.2258064516,3642.3548387096776,2678212,546548,21483,6996.0,6,23497024.0,3006400.0
