method,burst_multiplier,delivery_pct,delivery_ci95,control_mb,control_ci95
snn_sra,2.0,92.68637857608945,1.7881763273533438,7.6251136,0.9986296395053753
ospf_te,2.0,99.57289642893392,0.8253628135780325,59.644473600000005,2.2356763984676817
triggered_te,2.0,98.21430114363238,2.127177882852434,53.932371200000006,2.1067494751459774
te_ecmp,2.0,99.63185402763513,0.4501055174691345,115.585248,6.772671115377865
bandit,2.0,99.94184423201474,0.06523172424263152,99.58296320000001,3.649709885140459
snn_sra,3.0,93.6108955144495,1.4277652194483703,9.507264,1.3857039464790497
ospf_te,3.0,97.30043915671651,0.8801177208863973,59.644473600000005,2.2356763984676817
triggered_te,3.0,97.37499943164234,2.3054012188795334,54.233529600000004,1.9568534488794522
te_ecmp,3.0,98.2149206069239,1.3007638512988762,115.1543104,6.670575026091364
bandit,3.0,97.87494159066831,2.0425851108163964,99.58296320000001,3.649709885140459
snn_sra,4.0,89.97289620467346,2.757373182929889,10.1123648,1.323732653960616
ospf_te,4.0,93.88742171916624,2.413509440950023,59.644473600000005,2.2356763984676817
triggered_te,4.0,92.15543450024175,3.842763873340095,55.754624,1.8934179240855504
te_ecmp,4.0,96.13466616021891,1.79751679616539,114.2228416,6.797911912386302
bandit,4.0,94.66500315799769,2.088774525883566,99.58296320000001,3.649709885140459
snn_sra,5.0,85.8001342426744,4.47129668351237,10.5677376,1.2971057779790733
ospf_te,5.0,86.90756914562607,6.267019773924817,59.644473600000005,2.2356763984676817
triggered_te,5.0,87.1910960632164,5.117384514995442,56.730329600000005,2.24474630744378
te_ecmp,5.0,90.59635366636307,4.344444322548309,112.3936384,7.031566129614851
bandit,5.0,91.46975543070475,3.172614261213854,99.58296320000001,3.649709885140459
