method,burst_multiplier,control_mb,control_ci95
snn_sra,2.0,6.843808,0.6958494812110948
ospf_te,2.0,42.2171776,1.6141437503748284
te_ecmp,2.0,81.470304,4.832988002083394
bandit,2.0,72.4475008,2.7012054196085655
snn_sra,3.0,8.106624,0.997625703064551
ospf_te,3.0,42.2171776,1.6141437503748284
te_ecmp,3.0,81.0524544,4.781645505844474
bandit,3.0,72.4475008,2.7012054196085655
snn_sra,4.0,8.663475199999999,0.8681602017967275
ospf_te,4.0,42.2171776,1.6141437503748284
te_ecmp,4.0,80.3316416,4.617654132128827
bandit,4.0,72.4475008,2.7012054196085655
snn_sra,5.0,9.129388800000001,0.9037672573075056
ospf_te,5.0,42.2171776,1.6141437503748284
te_ecmp,5.0,79.5130176,5.111538392454914
bandit,5.0,72.4475008,2.7012054196085655
